# trisquel golden manifest
# package:      kubuntu-settings
# blessed-by:   ark@switnet.org
# blessed-at:   2026-07-25T09:49:59+00:00
# upstream:     noble (24.04)  helper-version: 16
# upstream-version: 24.04.13
# blessed-with: AUDIT_BLESS=1
# body-sha256:  c8c6e68b2f85f9752f2fc2ddb3684e678e062529bc09f1563b09e2ad9c66fc05
--- manifest ---
10	39	debian/control
0	4	debian/kubuntu-settings-desktop.links
0	1	debian/plymouth-theme-kubuntu-logo.install
0	39	debian/plymouth-theme-kubuntu-logo.postinst
0	43	debian/plymouth-theme-kubuntu-logo.postrm
0	1	debian/plymouth-theme-kubuntu-text.install
0	50	debian/plymouth-theme-kubuntu-text.postinst
0	19	debian/plymouth-theme-kubuntu-text.postrm
0	20	debian/plymouth-theme-kubuntu-text.prerm
0	1	debian/plymouth-theme-kubuntu-text.triggers
4	0	debian/triskel-settings-desktop.links
49	0	debian/triskel-settings-desktop.preinst
0	0	debian/{kubuntu-settings-desktop.dirs => triskel-settings-desktop.dirs}
4	3	debian/{kubuntu-settings-desktop.install => triskel-settings-desktop.install}
1	1	debian/{kubuntu-settings-desktop.maintscript => triskel-settings-desktop.maintscript}
4	4	debian/{kubuntu-settings-desktop.postinst => triskel-settings-desktop.postinst}
0	0	debian/{kubuntu-settings-desktop.postrm => triskel-settings-desktop.postrm}
0	0	desktop/bin/{kubuntu-driver-manager => triskel-driver-manager}
2	2	desktop/color-schemes/KubuntuLight.colors
0	2	desktop/etc/X11/Xsession.d/70xdg-kubuntu-dir
2	0	desktop/etc/X11/Xsession.d/70xdg-triskel-dir
0	0	desktop/etc/X11/Xsession.d/{80kubuntu-xmodmap => 80triskel-xmodmap}
0	0	desktop/etc/fonts/conf.avail/{56-kubuntu-noto.conf => 56-triskel-noto.conf}
1	1	desktop/etc/kde4rc
1	1	desktop/etc/sddm.conf.d/default.conf
0	0	desktop/etc/sddm.conf.d/{kubuntu_settings.conf => triskel_settings.conf}
bin	bin	desktop/etc/skel/.face
3	3	desktop/etc/xdg/kcm-about-distrorc
2	2	desktop/etc/xdg/kickoffrc
1	1	desktop/etc/xdg/plasma-workspace/env/env.sh
0	0	desktop/etc/{kubuntu-default-settings => triskel-default-settings}/directory-home
0	0	desktop/etc/{kubuntu-default-settings => triskel-default-settings}/directory-media
0	0	desktop/etc/{kubuntu-default-settings => triskel-default-settings}/hidden-media
1	1	desktop/kcm/kcm_driver_manager.desktop
3	3	desktop/kf5-settings/kcm-about-distrorc
2	0	desktop/kf5-settings/kcminputrc
9	2	desktop/kf5-settings/kdeglobals
2	2	desktop/kf5-settings/kscreenlockerrc
2	0	desktop/kf5-settings/ksmserverrc
3	0	desktop/kf5-settings/ksplashrc
1	1	desktop/kf5-settings/muondatasourcesrc
1	1	desktop/kf5-settings/plasmarc
bin	bin	desktop/kubuntu-logo.png
0	0	desktop/live/usr-share/initramfs-tools/scripts/casper-bottom/{40kubuntu_setup => 40triskel_setup}
14	14	desktop/plasma/plasma-welcome-extra-pages/01-Kubuntu.qml
bin	bin	desktop/sddm/themes/kubuntu/faces/.face.icon
0	8	desktop/sddm/themes/kubuntu/theme.conf
366	0	desktop/sddm/themes/triskel/faces/.face.icon
8	0	desktop/sddm/themes/triskel/theme.conf
0	0	desktop/sddm/themes/{kubuntu => triskel}/Background.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/KeyboardButton.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/Login.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/Main.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/SessionButton.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/ActionButton.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/Battery.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/Clock.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/SessionManagementScreen.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/UserDelegate.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/UserList.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/VirtualKeyboard.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/VirtualKeyboard_wayland.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/WallpaperFader.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/animation/RejectPasswordAnimation.qml
0	0	desktop/sddm/themes/{kubuntu => triskel}/components/animation/RejectPasswordPathAnimation.qml
bin	bin	desktop/sddm/themes/{kubuntu => triskel}/components/artwork/logout_primary.svgz
bin	bin	desktop/sddm/themes/{kubuntu => triskel}/components/artwork/restart_primary.svgz
bin	bin	desktop/sddm/themes/{kubuntu => triskel}/components/artwork/shutdown_primary.svgz
0	0	desktop/sddm/themes/{kubuntu => triskel}/default-logo.svg
3	3	desktop/sddm/themes/{kubuntu => triskel}/metadata.desktop
bin	bin	desktop/sddm/themes/{kubuntu => triskel}/preview.png
bin	bin	desktop/theme/desktoptheme/kubuntu/icons/start.svgz
bin	bin	desktop/theme/desktoptheme/triskel/icons/start.svgz
26	0	desktop/theme/desktoptheme/triskel/metadata.desktop
0	0	desktop/theme/desktoptheme/{kubuntu => triskel}/colors
4	4	desktop/theme/desktoptheme/{kubuntu => triskel}/metadata.json
0	71	desktop/theme/layout-templates/org.kubuntu.desktop.defaultPanel/metadata.json
71	0	desktop/theme/layout-templates/org.triskel.desktop.defaultPanel/metadata.json
